h_code,x,y,z,no
1111051500,2.64211823,-0.268005294,-1.043399762,0
1111053000,3.32140153,-0.693683708,-0.388083853,0
1111054000,-0.270439098,-0.61098373,-0.554119924,1
1111055000,0.635753035,-1.153156012,-0.579338767,0
1111056000,1.274524107,-0.314311198,-0.748201041,0
1111057000,1.697827304,-0.483603754,-1.19368712,0
1111058000,1.530253455,-1.690343773,-0.755871799,0
1111060000,1.255216254,-0.803704045,-1.021316146,0
1111061500,1.23168387,0.641430755,2.937701419,3
1111063000,-3.443415141,1.681290547,1.663666284,4
1111064000,-0.526321507,-2.524455671,0.470400646,2
1111065000,-0.336229263,-0.371365105,0.591570029,1
1111067000,-3.628892407,1.416082473,-0.175000468,4
1111068000,-2.596267887,0.685308851,-0.673777144,4
1111069000,-1.0328525,-0.276173088,-0.824307999,1
1111070000,-0.740336952,-1.256598413,-0.749184569,2
1111071000,-2.336172762,0.823918253,-0.18503222,4
1114052000,0.048786385,0.903925762,1.408439952,1
1114054000,-2.34426101,3.030479048,2.103303157,4
1114055000,1.354451789,-3.437265115,1.912211314,2
1114057000,-3.341932543,0.91488912,0.39540121,4
1114058000,-1.82973218,0.797826075,-0.057421687,4
1114059000,-2.326829794,0.946311655,2.045366998,4
1114060500,-2.46909577,-1.569740652,0.347634195,2
1114061500,-1.54267746,0.16012816,3.111139745,4
1114062500,0.333874942,0.427251019,-0.790993356,0
1114063500,0.93289684,-1.196416032,-0.828054668,0
1114064500,0.86567627,-0.879964145,-0.944486227,0
1114065000,0.675370842,0.263331448,-0.924495594,0
1114066500,0.862526376,0.250990336,-1.155160015,0
1114067000,1.497784366,-0.493657047,-0.818461392,0
1114068000,0.670384134,2.076210382,-1.211814031,1
1117051000,0.111957814,-0.323761141,-0.669611641,1
1117052000,-0.691140091,-0.788116557,-0.341437765,1
1117053000,-1.049651527,-2.70620742,0.169224798,2
1117055500,-1.046273286,-2.251248819,0.428621601,2
1117056000,1.4102622,0.561828917,-0.446060529,0
1117057000,1.002629857,-1.467299154,-0.675168413,0
1117058000,1.839290818,0.062766154,-1.192030381,0
1117059000,0.592120721,-0.135807426,-0.849666203,0
1117062500,1.004490528,0.12323809,0.570787947,0
1117063000,1.032787478,-0.857614369,0.061095518,0
1117064000,0.93340423,-0.668577585,-1.342544611,0
1117065000,0.988636263,0.589807148,0.286052389,0
1117066000,2.011734229,-0.516103481,-0.673240444,0
1117068500,1.290997484,1.16090743,0.801370418,3
1117069000,1.18567902,0.776089378,-1.181232591,0
1117070000,-0.520137453,1.1602864,-0.859294861,1
1120052000,0.839082047,0.275906777,-0.803375391,0
1120053500,1.61291064,-0.501994411,-0.066365121,0
1120054000,-0.470592226,0.734224474,-0.323677282,1
1120055000,-1.925046554,0.942644654,0.806017521,4
1120056000,1.106811833,0.259229962,-0.582669748,0
1120057000,1.499943732,-0.536541756,-0.939914539,0
1120058000,0.809142672,-1.217080244,-0.709069527,0
1120059000,0.781343377,-0.277356957,-0.908503707,0
1120061500,0.922877928,-0.596864463,-0.462356095,0
1120062000,0.810748551,-0.92102564,-0.538606144,0
1120064500,1.887395006,-0.840624808,-0.607428898,0
